City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
538,Trincomalee,LK,81.46,overcast clouds,8.5711,81.2335,Welcombe Hotel
540,Ahuimanu,US,85.71,broken clouds,21.4447,-157.8378,Paradise Bay Resort
543,Virginia Beach,US,83.01,few clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
544,Tual,ID,80.53,broken clouds,-5.6667,132.75,Grand Vilia Hotel
545,Aliaga,PH,75.94,broken clouds,15.5167,120.8667,Jhenie rich ramos
550,Kieta,PG,78.33,light rain,-6.2167,155.6333,Uruna Bay Retreat
552,Manono,CD,74.75,light rain,-7.3,27.4167,Hotel hewa bora
553,Palmas Bellas,PA,84.34,overcast clouds,9.2319,-80.0867,Estación de Chagres
554,Rosetta,EG,76.82,clear sky,31.4044,30.4164,Green Valley
555,Lata,PT,70.03,overcast clouds,40.1629,-8.3327,Casa Maquia
556,Santa Isabel Do Rio Negro,BR,84.04,overcast clouds,-0.4139,-65.0192,Hotel GSA
558,Taganak,PH,78.94,broken clouds,6.0833,118.3,Taganak
561,Qingyuan,CN,84.18,light rain,23.7,113.0333,Guojin Commercial Hotel
562,Boulsa,BF,88.2,broken clouds,12.6675,-0.5758,Centre d'accueil de Nasongdo
564,Muisne,EC,84.31,overcast clouds,0.6,-80.0333,Quinta Samay
567,Bajil,YE,89.33,clear sky,15.0584,43.2851,فندق حضرموت
568,Hanna,CA,78.44,clear sky,51.6334,-111.9018,"West View Motel, Hanna, AB"
571,Shaunavon,CA,81.57,clear sky,49.6501,-108.4181,Bear's Den Lodge
572,Along,IN,72.63,light rain,28.1667,94.7667,Hotel West
573,Sungai Petani,MY,77.85,overcast clouds,5.647,100.4877,Swiss-Inn Sungai Petani
574,Yining,CN,74.59,broken clouds,29.0361,114.5636,Xiushui Hotel
575,Mitsamiouli,KM,76.66,clear sky,-11.3847,43.2844,Foyer ADM
579,Tezu,IN,72.91,overcast clouds,27.9167,96.1667,Circuit House
580,Fiumicino,IT,77.02,clear sky,41.7675,12.2291,Al Porticciolo Hotel
581,Erzin,TR,75.0,clear sky,36.9559,36.2,Artemis Otel
582,Souillac,MU,71.98,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
586,Mapastepec,MX,85.1,broken clouds,15.4333,-92.9,Hotel San Carlos
590,Salinas,US,78.57,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
592,Harper,LR,75.49,light rain,4.375,-7.7169,Screensaver
594,El Alto,PE,73.06,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
596,Gigmoto,PH,79.66,overcast clouds,13.7796,124.39,Cj's Travellers Inn
597,Mbandaka,CD,70.95,scattered clouds,0.0487,18.2603,Guest House Epervier
600,Pochutla,MX,87.96,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
601,Xucheng,CN,74.1,light rain,20.35,110.1288,Haixing Hotel
605,Malakal,SS,76.14,scattered clouds,9.5334,31.6605,Nile Palace Hotel
607,Amuntai,ID,73.24,overcast clouds,-2.4177,115.2494,Hotel Balqis
610,Teknaf,BD,77.43,light rain,20.8624,92.3058,Forestry Guesthouse
612,Cayambe,EC,74.46,light rain,0.05,-78.1333,Hosteria Jatun huasi
613,Gorontalo,ID,74.61,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
616,Serra,BR,80.47,broken clouds,-20.1286,-40.3078,Interior do Estado do Espirito Santo
621,Manokwari,ID,78.19,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
624,Krabi,TH,75.4,few clouds,8.0726,98.9105,Tharapark View Hotel
625,Do Gonbadan,IR,75.29,clear sky,30.3586,50.7981,شبکه بهداشت و درمان گچساران
630,Banda Aceh,ID,78.55,overcast clouds,5.5577,95.3222,Sulthan Hotel International
631,Acapulco,MX,85.23,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
635,San Quintin,MX,71.98,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
636,Kandrian,PG,76.51,overcast clouds,-6.2167,149.55,Kandrian Station
638,Westport,US,80.2,scattered clouds,41.1415,-73.3579,The Westport Inn
639,Bac Lieu,VN,79.21,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
640,Iralaya,HN,89.69,clear sky,15.0,-83.2333,Iglesia morava renovada
642,Kuching,MY,77.22,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
645,Gimli,CA,75.43,broken clouds,50.6336,-96.9907,Lakeview Gimli Resort
646,Moengo,SR,87.75,scattered clouds,5.6167,-54.4,Masanga
648,Palmer,US,76.08,broken clouds,42.1584,-72.3287,Wedgewood Motel
650,Spencer,US,88.48,clear sky,43.1414,-95.1444,Days Inn by Wyndham Hotel Spencer IA
652,Hirara,JP,83.01,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
654,Fayaoue,NC,71.85,few clouds,-20.65,166.5333,Chez Dydyce Guesthouse
655,Ambo,PE,76.46,broken clouds,-10.1308,-76.2047,La Loma Resort
657,Durgapur,IN,77.92,moderate rain,23.4833,87.3167,OYO 23635 Sher E Bengal
659,Aswan,EG,87.1,clear sky,24.0934,32.907,Nuba Nile
660,Kupang,ID,74.41,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
661,Mayumba,GA,76.19,overcast clouds,-3.432,10.6554,LIKWALE LODGE
662,Akyab,MM,78.51,overcast clouds,20.15,92.9,Hotel Memory
663,Emilio Carranza,MX,84.09,few clouds,19.9711,-96.6114,casa carranza
665,Samarinda,ID,73.47,broken clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
668,Tete,MZ,83.73,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
669,Yanam,IN,75.33,overcast clouds,16.7333,82.2167,The Regency Hotel
670,Mao,ES,70.36,clear sky,39.8885,4.2658,ARTIEM Capri
672,Anloga,GH,80.82,broken clouds,5.7947,0.8973,Pin Drop Hotel
673,Hailey,US,73.9,clear sky,43.5196,-114.3153,Wood River Inn & Suites
675,Namatanai,PG,79.34,light rain,-3.6667,152.4333,Seagulls Inn Namatani
678,Keti Bandar,PK,83.98,broken clouds,24.1447,67.4497,Haji laloo memon house
680,Lithakia,GR,73.58,broken clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
688,Farafangana,MG,70.18,scattered clouds,-22.8167,47.8333,Miarina
690,Bilma,NE,89.49,clear sky,18.6853,12.9164,Expeditions Ténére voyages
693,Roma,US,76.86,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
697,Khandbari,NP,71.35,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
698,Mogadishu,SO,77.72,broken clouds,2.0371,45.3438,Hotel Juba
701,Sant Feliu De Guixols,ES,75.0,few clouds,41.7833,3.0333,Eden Roc Mediterranean Hotel & Spa
702,Praia Da Vitoria,PT,70.75,overcast clouds,38.7333,-27.0667,Hotel Branco I
703,Koppal,IN,70.39,light rain,15.35,76.15,Hotel B.S.Pawar Grand
705,Menongue,AO,73.08,overcast clouds,-14.6585,17.691,Ritz Lauca
