City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sechura,PE,-5.5569,-80.8222,72.79,64,67,16.69,broken clouds
80,Vila Velha,BR,-20.3297,-40.2925,80.96,75,75,17.27,broken clouds
81,Talnakh,RU,69.4865,88.3972,30.78,59,40,2.51,scattered clouds
82,Bredasdorp,ZA,-34.5322,20.0403,54.28,86,11,5.99,few clouds
83,Ust-Nera,RU,64.5667,143.2,29.61,94,99,3.65,overcast clouds
84,Huejucar,MX,22.35,-103.2167,75.83,51,75,7.18,broken clouds
85,Ambilobe,MG,-13.2,49.05,73.45,66,23,5.01,few clouds
86,Esperance,AU,-33.8667,121.9,53.44,84,86,17.72,overcast clouds
87,Barahona,DO,18.2085,-71.1008,91.22,55,20,13.8,few clouds
88,Cherskiy,RU,68.75,161.3,23.43,89,100,12.62,light snow
89,Abu Dhabi,AE,24.4667,54.3667,89.71,62,64,5.75,broken clouds
90,Takoradi,GH,4.8845,-1.7554,76.98,89,94,7.63,overcast clouds
91,Vardo,NO,70.3705,31.1107,53.35,87,0,3.44,clear sky
92,Vanimo,PG,-2.6741,141.3028,77.13,84,90,4.41,overcast clouds
93,Komsomolskiy,UZ,40.4272,71.7189,65.12,48,0,4.61,clear sky
94,Korla,CN,41.7597,86.1469,65.7,26,0,2.77,clear sky
95,Brae,GB,60.3964,-1.353,49.91,81,99,22.21,overcast clouds
96,Clyde River,CA,70.4692,-68.5914,32.23,80,75,8.05,broken clouds
97,Vung Tau,VN,10.346,107.0843,80.83,84,94,10.65,overcast clouds
98,Half Moon Bay,US,37.4636,-122.4286,77.29,76,75,6.91,broken clouds
99,Fortuna,US,40.5982,-124.1573,66.18,59,75,5.01,light rain
100,Bambous Virieux,MU,-20.3428,57.7575,71.85,73,20,13.8,few clouds
101,Teya,RU,60.3778,92.6267,33.82,83,100,3.22,overcast clouds
102,Dunkirk,FR,51.05,2.3667,57.09,78,0,1.01,light rain
103,Igarka,RU,67.4667,86.5833,30.38,72,87,6.93,overcast clouds
104,Kaitangata,NZ,-46.2817,169.8464,41.94,80,49,6.24,scattered clouds
105,Nicoya,CR,10.1483,-85.452,87.35,92,100,3.94,overcast clouds
106,Mar Del Plata,AR,-38.0023,-57.5575,52.05,71,75,7.0,broken clouds
107,Haverfordwest,GB,51.8017,-4.9691,58.55,86,10,1.99,clear sky
108,Bluff,NZ,-46.6,168.3333,42.8,71,59,11.1,broken clouds
109,Avarua,CK,-21.2078,-159.775,77.05,78,20,4.61,few clouds
110,Ambunti,PG,-4.2365,142.8448,73.38,99,100,1.43,overcast clouds
111,Traverse City,US,44.7631,-85.6206,72.34,73,75,9.22,broken clouds
112,Baloda,IN,22.15,82.4833,75.27,92,100,8.81,moderate rain
113,Umm Lajj,SA,25.0213,37.2685,84.18,53,0,8.57,clear sky
114,Thompson,CA,55.7435,-97.8558,55.56,82,90,5.75,overcast clouds
115,Campestre,BR,-21.7111,-46.2464,80.94,29,35,1.57,scattered clouds
116,Ribeira Grande,PT,38.5167,-28.7,70.2,78,40,14.97,scattered clouds
117,Belaya Gora,RU,68.5333,146.4167,25.77,91,100,15.14,overcast clouds
118,Nikolskoye,RU,59.7035,30.7861,46.8,97,0,3.44,clear sky
119,Geraldton,AU,-28.7667,114.6,50.41,93,75,9.22,mist
120,Port Blair,IN,11.6667,92.75,79.41,86,100,8.16,overcast clouds
121,Pirawa,IN,24.1551,76.0273,76.73,92,99,7.36,overcast clouds
122,Hermanus,ZA,-34.4187,19.2345,58.89,78,14,7.31,few clouds
123,Gornopravdinsk,RU,60.05,69.9,31.62,95,7,4.97,clear sky
124,Nantucket,US,41.2835,-70.0995,74.97,70,1,17.27,clear sky
125,Belyy,RU,55.8402,32.9419,46.69,90,100,5.5,overcast clouds
126,Ilulissat,GL,69.2167,-51.1,19.06,71,0,7.65,clear sky
127,Upernavik,GL,72.7868,-56.1549,26.13,56,24,3.42,few clouds
128,Ancud,CL,-41.8697,-73.8203,58.53,70,54,7.36,broken clouds
129,Katsuura,JP,35.1333,140.3,68.18,80,93,13.98,overcast clouds
130,Longyearbyen,SJ,78.2186,15.6401,33.64,86,90,2.3,overcast clouds
131,Kunigal,IN,13.0222,77.0267,68.16,90,100,8.9,overcast clouds
132,Broken Hill,AU,-31.95,141.4333,60.51,25,75,13.8,broken clouds
133,Kamenka,RU,51.3223,42.7678,45.57,94,100,6.38,overcast clouds
134,Bethel,US,41.3712,-73.414,78.42,55,1,13.8,clear sky
135,Sosua,DO,19.7667,-70.5167,94.98,74,20,13.8,few clouds
136,Seoul,KR,37.5683,126.9778,69.37,78,90,6.91,overcast clouds
137,Kruisfontein,ZA,-34.0033,24.7314,60.89,89,14,13.35,few clouds
138,Ocean City,US,39.2776,-74.5746,82.29,55,5,8.99,clear sky
139,Gladstone,AU,-23.85,151.25,64.33,82,90,8.05,overcast clouds
140,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,80,40,11.5,scattered clouds
141,Lebu,CL,-37.6167,-73.65,53.71,62,18,18.25,few clouds
142,Broome,US,42.2506,-75.833,77.63,57,1,4.0,clear sky
143,Port Alfred,ZA,-33.5906,26.891,64.4,83,100,20.24,light rain
144,Abapo,BO,-18.8333,-63.4667,98.56,18,0,16.84,clear sky
145,Arlit,NE,18.7369,7.3853,90.18,10,0,13.96,clear sky
146,Port Hardy,CA,50.6996,-127.4199,51.98,93,90,17.27,light intensity shower rain
147,Dingzhou,CN,38.5131,114.9956,64.51,83,100,2.44,light rain
148,Port Keats,AU,-14.25,129.55,76.33,87,70,3.76,broken clouds
149,Kahului,US,20.8947,-156.47,84.22,68,20,17.27,few clouds
150,Gumla,IN,23.05,84.55,71.49,97,97,3.56,overcast clouds
151,Kaohsiung,TW,22.6163,120.3133,82.35,81,75,1.01,broken clouds
152,Torbay,CA,47.6666,-52.7314,68.77,91,75,12.66,light rain
153,Saskylakh,RU,71.9167,114.0833,25.59,90,13,10.78,few clouds
154,Jiangyou,CN,31.7667,104.7167,67.12,87,100,2.08,light rain
155,Touros,BR,-5.1989,-35.4608,83.3,77,7,18.25,clear sky
156,Acarau,BR,-2.8856,-40.12,82.36,72,83,20.11,broken clouds
157,Celestun,MX,20.8667,-90.4,86.11,63,33,11.56,scattered clouds
158,Qaanaaq,GL,77.484,-69.3632,24.55,68,100,5.99,overcast clouds
159,Fasa,IR,28.9383,53.6482,67.24,26,0,0.0,clear sky
160,Conde,BR,-7.2597,-34.9075,81.86,65,75,18.41,broken clouds
161,Busko-Zdroj,PL,50.4708,20.7188,57.18,73,79,9.93,broken clouds
162,Padang,ID,-0.9492,100.3543,77.47,88,32,3.83,moderate rain
163,Marang,MY,5.2056,103.2059,78.71,85,43,4.03,scattered clouds
164,Tuatapere,NZ,-46.1333,167.6833,42.82,73,86,5.32,overcast clouds
165,Aklavik,CA,68.2191,-135.0107,32.83,74,20,2.3,few clouds
166,Alofi,NU,-19.0595,-169.9187,75.09,83,40,6.91,scattered clouds
167,Santa Rosa,PH,14.3122,121.1114,82.38,84,87,1.61,overcast clouds
168,Kenai,US,60.5544,-151.2583,43.14,77,1,5.75,clear sky
169,Saint George,US,37.1041,-113.5841,90.07,36,1,1.01,clear sky
170,Libreville,GA,0.3925,9.4537,80.62,83,40,10.36,scattered clouds
171,Usinsk,RU,65.9939,57.5281,37.8,71,100,9.53,overcast clouds
172,Shingu,JP,33.7333,135.9833,70.5,88,55,12.77,broken clouds
173,Khatanga,RU,71.9667,102.5,26.65,81,41,7.87,scattered clouds
174,Sur,OM,22.5667,59.5289,83.77,68,63,9.46,broken clouds
175,Atuona,PF,-9.8,-139.0333,77.81,74,21,19.19,few clouds
176,Yulara,AU,-25.2406,130.9889,64.24,29,3,5.75,clear sky
177,Sawtell,AU,-30.3833,153.1,55.18,91,90,0.0,overcast clouds
178,Koundara,GN,12.4833,-13.3,81.57,77,12,3.47,few clouds
179,Saldanha,ZA,-33.0117,17.9442,55.45,78,0,14.58,clear sky
180,Putina,PE,-15.4667,-69.4333,56.61,44,6,12.91,clear sky
181,Dubti,ET,11.7361,41.0853,92.88,32,99,15.43,overcast clouds
182,Brenham,US,30.1669,-96.3977,91.17,45,1,0.0,clear sky
183,Leshukonskoye,RU,64.8989,45.7622,44.62,90,100,4.05,overcast clouds
184,Piranshahr,IR,36.701,45.1413,60.75,22,0,5.66,clear sky
